GameRanking,,,,,,,,
Top Ranking 2013,,,,,genre,,,
#1,Grand Theft Auto V,,,,Action-adventure,,,PS3
#2,Grand Theft Auto V,,,,Action-adventure,,,XBOX360
#3,The Last of Us,,,,Action-adventure,,,
#4,Bioshock Infinite,,,,FPS,,,PC
#5,Super Mario 3D World,,,,Platformer,,,
#6,Fire Emblem: Awakening,,,,Tactical role-playing,,,
#7,Bioshock Infinite,,,,FPS,,,XBOX360
#8,The Legend of Zelda: The Wind Waker HD,,,,Action-adventure,,,
#9,The Legend of Zelda: A Link Between Worlds,,,,Action-adventure,,,
#10,The Stanley Parable,,,,Interactive Story,,,
https://www.gamerankings.com/browse.html?site=&cat=0&year=2013&numrev=0&sort=0&letter=&search=,,,,,,,,
