1,Uncharted 2: Among Thieves,Action-adventure,PS3,96.43%,,,,,,,
2,Street Fighter IV,Fighting,PS3,93.64%,,,,,,,
3,Call of Duty: Modern Warfare 2,FPS,XBOX360,93.57%,,,,,,,
4,Call of Duty: Modern Warfare 2,FPS,PS3,93.42%,,,,,,,
5,Street Fighter IV,Fighting,XBOX360,93.23%,,,,,,,
6,Minecraft,"Sandbox, Survival",PC,92.79%,,,,,,,
7,Grand Theft Auto: Chinatown Wars,Action-adventure,DS,92.71%,,,,,,,
8,Metroid Prime Trilogy,FPS,WII,92.35%,,,,,,,
9,Batman: Arkham Asylum,Action-adventure,X360,92.34%,,,,,,,
10,Forza Motorsport 3,Racing,X360,92.26%,,,,,,,
